"iso3c","country","year","unemp_nat","unemp_ilo","unemp_i","regime","regime_i","fem_labour","fem_labour_i","gini_disp","gini_disp_i","gdp_madki","gdp_madki_i","gdp_cap_i","fertility","fertility_i","alc_all_types","alc_all_types_i","christpct_i","christpct_ii","islampct_i","islampct_ii","buddhapct_i","buddhapct_ii","jewishpct_i","jewishpct_ii","hindupct_i","hindupct_ii","otherpct_i","otherpct_ii","nonreligpct_i","nonreligpct_ii","suicide_total_m","suicide_total_f","suicide_rate_female_owd","suicide_rate_male_owd","suicide_rate_total_owd","pop","pop65","crisis_idx","marit_rate_men","marit_rate_women","div_rate_female","div_rate_male","atwar","crisis_idx_i","atwar_i","crisis_idx_iI","suicide_total_owd","suicide_total_pcm","suicide_male_pcm","suicide_female_pcm","region","any_crisis"
"AZE","Azerbaijan",2014,5.13499999046326,5.13499999046326,5.13499999046326,3,3,48.9702874218109,48.9702874218109,NA,NA,16.736017975,16.736017975,16.736017975,1.9275,1.9275,2.51125,2.51125,0.0316666666666667,0.03175,0.951833333333333,0.952875,0,0,0.001,0.001,0,0,0.00216666666666667,0.002125,0.0133333333333333,0.01225,NA,NA,17.3375,73.95,4.38314269642099,9467033,5.80136596065911,NA,66.9313095238095,54.1576190476191,NA,NA,0,0,0,0,43.8314269642099,43.8314269642099,73.95,17.3375,"Europe & Central Asia",0
"BDI","Burundi",2014,1.57000005245209,1.60999999940396,1.57000005245209,3,3,52.07381548018,52.07381548018,38.85,38.85,0.70999105,0.70999105,0.70999105,5.844125,5.844125,4.0875,4.0875,0.869833333333333,0.872125,0.0243333333333333,0.0245,0,0,0,0,0.001,0.001,0.103833333333333,0.101375,0.001,0.001,NA,NA,60.4875,204.6,13.0348235003847,9717454.25,2.12489449867098,NA,72.3069456521739,55.7761428571429,NA,NA,0,0,0,0,130.348235003847,130.348235003847,204.6,60.4875,"Sub-Saharan Africa",0
"BEL","Belgium",2014,7.91500002145767,7.91500002145767,7.91500002145767,9,9,45.6367836992917,45.6367836992917,26.15,26.15,38.30343635,38.30343635,38.30343635,1.75,1.75,10.075,10.075,0.6855,0.682375,0.0568333333333333,0.057125,0.002,0.002,0.003,0.003,0.001,0.001,0.00516666666666667,0.005125,0.2465,0.249375,1400.42857142857,556,83.6125,227.8,15.3635557155953,11173752.75,17.9029240124719,1.42857142857143,61.8215384615385,58.58,NA,NA,0,0.625,0,0,153.635557155953,153.635557155953,227.8,83.6125,"Europe & Central Asia",1
"BEN","Benin",2014,1.84500002861023,2.39250001311302,1.84500002861023,7,7,49.1875599383019,49.1875599383019,46.25,46.25,1.972654825,1.972654825,1.972654825,5.14275,5.14275,1.4775,1.4775,0.427166666666667,0.427125,0.285,0.2875,0,0,0,0,0,0,0.2845,0.281875,0.00333333333333333,0.0035,NA,NA,60.6375,177.6875,11.5135487596803,10162998.75,3.23379821106308,NA,67.8706547619048,68.357380952381,NA,NA,0,0,0,0,115.135487596803,115.135487596803,177.6875,60.6375,"Sub-Saharan Africa",0
"BFA","Burkina Faso",2014,6.48000001907349,5.58749997615814,6.48000001907349,6,6,44.3664526312648,44.3664526312648,42.68,42.68,1.422550275,1.422550275,1.422550275,5.566,5.566,6.3325,6.3325,0.2505,0.253875,0.591833333333333,0.594125,0,0,0,0,0,0,0.154,0.1485,0.00366666666666667,0.0035,NA,NA,57.7,216.625,13.0895434658092,17358431.5,2.43343937640759,NA,76.9636363636364,75.165,NA,NA,0,0,0,0,130.895434658092,130.895434658092,216.625,57.7,"Sub-Saharan Africa",0
"BGD","Bangladesh",2014,4.1324999332428,4.13374996185303,4.1324999332428,5,5,27.6496893118444,27.6496893118444,34.8142857142857,34.8125,3.1752823375,3.1752823375,3.1752823375,2.179625,2.179625,0,0,0.005,0.005,0.901833333333333,0.902125,0.006,0.006,0,0,0.0803333333333333,0.0795,0.00583333333333333,0.006375,0.001,0.001,NA,NA,66.475,63.7125,6.56011785019998,153629945.875,5.00929956911369,NA,74.7677272727273,79.1106349206349,NA,NA,0,0,0,0,65.6011785019998,65.6011785019998,63.7125,66.475,"South Asia",0
"BGR","Bulgaria",2014,10.1300000548363,10.1312500238419,10.1300000548363,6,6,46.4724706722723,46.4724706722723,35.8,35.8,15.9133941875,15.9133941875,15.9133941875,1.5275,1.5275,10.86625,10.86625,0.805,0.80325,0.0718333333333333,0.069125,0,0,0,0,0,0,0.0865,0.091125,0.0366666666666667,0.0365,576.625,171.25,37.9125,155.425,9.3497609054581,7240078.5,19.4277351740534,NA,48.5364285714286,45.5127142857143,NA,NA,0,0,0,0,93.497609054581,93.497609054581,155.425,37.9125,"Europe & Central Asia",0
"BHR","Bahrain",2014,2.11000001430512,1.26750001311302,2.11000001430512,0,0,21.3424449579794,21.3424449579794,47.5,47.5,38.4909287125,38.4909287125,38.4909287125,2.087,2.087,1.59125,1.59125,0.1415,0.144375,0.671666666666667,0.664,0.00233333333333333,0.0025,0,0,0.0635,0.063125,0.116,0.121,0.005,0.005,11.6,3,19.7375,60.275,4.55247613172452,1345221.75,2.25147282305615,NA,NA,55.5236363636364,NA,NA,0,0,0,0,45.5247613172452,45.5247613172452,60.275,19.7375,"Middle East & North Africa",0
"BHS","Bahamas",2014,13.2885716302054,13.418750166893,13.2885716302054,NA,7,48.1168178728215,48.1168178728215,44.475,44.475,4.24576697387864,4.24576697387864,4.24576697387864,1.807375,1.807375,8.73875,8.73875,0.9175,0.915375,0.001,0.001,0,0,0.000333333333333333,0.00025,0.001,0.001,0.0373333333333333,0.0395,0.0428333333333333,0.042875,4,1.75,10.35,54.975,3.1395323040388,368725.25,6.5326510402221,NA,48.8671428571429,38.3071428571429,NA,NA,0,0.125,0,0.142857142857143,31.395323040388,31.395323040388,54.975,10.35,"Latin America & Caribbean",1
"BIH","Bosnia & Herzegovina",2014,26.4425001144409,26.4425001144409,26.4425001144409,6,6,39.0757401445364,39.0757401445364,38.8833333333333,38.8833333333333,9.3025866875,9.3025866875,9.3025866875,1.301625,1.301625,4.715,4.715,0.479,0.47725,0.481166666666667,0.483375,0,0,0,0,0,0,0,0,0.0398333333333333,0.039375,124,70,25.3875,110.2125,6.59139295851293,3520435.375,14.4971991330801,NA,53.43,62.0885714285714,NA,NA,0,0.875,0,0.875,65.9139295851293,65.9139295851293,110.2125,25.3875,"Europe & Central Asia",1
