"iso3c","country","year","unemp_nat","unemp_ilo","unemp_i","regime","regime_i","fem_labour","fem_labour_i","gini_disp","gini_disp_i","gdp_madki","gdp_madki_i","gdp_cap_i","fertility","fertility_i","alc_all_types","alc_all_types_i","christpct_i","christpct_ii","islampct_i","islampct_ii","buddhapct_i","buddhapct_ii","jewishpct_i","jewishpct_ii","hindupct_i","hindupct_ii","otherpct_i","otherpct_ii","nonreligpct_i","nonreligpct_ii","suicide_total_m","suicide_total_f","suicide_rate_female_owd","suicide_rate_male_owd","suicide_rate_total_owd","pop","pop65","crisis_idx","marit_rate_men","marit_rate_women","div_rate_female","div_rate_male","atwar","crisis_idx_i","atwar_i","crisis_idx_iI","suicide_total_owd","suicide_total_pcm","suicide_male_pcm","suicide_female_pcm","region","any_crisis"
"DJI","Djibouti",2014,26.0599994659424,11.4275002479553,26.0599994659424,3,3,39.1746671956726,39.1746671956726,42.9875,42.9875,2.813540125,2.813540125,2.813540125,3.02775,3.02775,0.36375,0.36375,0.017,0.017,0.969,0.969,0,0,0,0,0,0,0.002,0.002,0.012,0.012,NA,NA,41.4,125.9125,8.55876884122642,891399.875,4.16584655244738,NA,62.5333333333333,47.9083333333333,NA,NA,0,0.125,0,1,85.5876884122642,85.5876884122642,125.9125,41.4,"Middle East & North Africa",1
"DMA","Dominica",2014,NA,NA,13,NA,5.5,NA,NA,44.9,44.9,9.1123125125,9.1123125125,9.1123125125,NA,NA,10.0125,10.0125,0.830333333333333,0.8275,0.002,0.002,0.001,0.001,0,0,5e-04,0.000375,0.0681666666666667,0.069125,0.098,0.1,2.83333333333333,1,13.8625,75.2875,4.46143646703597,71101,NA,NA,NA,NA,NA,NA,0,0,0,NA,44.6143646703597,44.6143646703597,75.2875,13.8625,"Latin America & Caribbean",1
"DNK","Denmark",2014,6.96625000238418,6.96625000238418,6.96625000238418,9,9,47.1957460460357,47.1957460460357,25.5,25.5,44.11474415,44.11474415,44.11474415,1.745,1.745,9.6475,9.6475,0.822333333333333,0.81825,0.0435,0.044125,0.004,0.004,0.001,0.001,0.002,0.002,0.00166666666666667,0.00175,0.1255,0.128875,437,160,44.725,136.7125,8.96103822092744,5643088.375,18.2395019629809,0.714285714285714,45.0830158730159,43.3408366402116,NA,NA,0,0.625,0,0,89.6103822092744,89.6103822092744,136.7125,44.725,"Europe & Central Asia",1
"DOM","Dominican Republic",2014,6.60124999284744,6.60124999284744,6.60124999284744,6,6,38.4336829694067,38.4336829694067,43.975,43.975,12.9176745125,12.9176745125,12.9176745125,2.433375,2.433375,5.535,5.535,0.949666666666667,0.9495,0,0,0,0,0,0,0,0,0.024,0.024,0.0263333333333333,0.0265,235.25,49.25,29.075,136.8625,8.25874333496425,10105649.75,6.31947578237352,0,58.2265517241379,54.2658323158323,NA,NA,0,0,0,0,82.5874333496425,82.5874333496425,136.8625,29.075,"Latin America & Caribbean",0
"DZA","Algeria",2014,10.7374999523163,10.5412499904633,10.7374999523163,3,3,18.7841012971934,18.7841012971934,35.3,35.225,13.6263718625,13.6263718625,13.6263718625,2.984125,2.984125,0.4975,0.4975,0.001,0.001,0.984166666666667,0.983875,0,0,0,0,0,0,0.00133333333333333,0.0015,0.0135,0.013625,NA,NA,23.8125,62.5,4.33005938300435,38594404,5.7436890712985,0,68.8007692307692,55.2095,NA,NA,0,0,0,0,43.3005938300435,43.3005938300435,62.5,23.8125,"Middle East & North Africa",0
"ECU","Ecuador",2014,3.67499998211861,3.67624998092651,3.67499998211861,6,6,39.3193100803083,39.3193100803083,42.8875,42.8875,10.4469362375,10.4469362375,10.4469362375,2.532875,2.532875,3.85875,3.85875,0.952333333333333,0.95175,0,0,0.001,0.001,0,0,0,0,0.0151666666666667,0.015125,0.0315,0.032125,723,238.625,48.675,150.425,9.84425955869138,15859613.75,6.42087449885241,0,60.7314285714286,53.1071428571429,NA,NA,0,0,0,0,98.4425955869138,98.4425955869138,150.425,48.675,"Latin America & Caribbean",0
"EGY","Egypt",2014,12.0825001001358,12.0837500095367,12.0825001001358,3,3,23.2601385975136,23.2601385975136,42.2875,42.2875,11.0179974625,11.0179974625,11.0179974625,3.374875,3.374875,0.1775,0.1775,0.110333333333333,0.11,0.883333333333333,0.8835,0,0,0,0,0,0,0.000333333333333333,5e-04,0.006,0.006,86.75,19.5,27.1,80.2375,5.42257903036858,89484278.875,5.00555299002529,0,72.1626098901099,63.7278571428571,NA,NA,0,0,0,0,54.2257903036858,54.2257903036858,80.2375,27.1,"Middle East & North Africa",1
"ERI","Eritrea",2014,NA,6.69250005483627,6.69250005483627,NA,5.5,46.191396047321,46.191396047321,NA,NA,4.22371101729112,4.22371101729112,4.22371101729112,4.320625,4.320625,0.75125,0.75125,0.464333333333333,0.464,0.515,0.51525,0,0,0,0,0,0,0.00666666666666667,0.00675,0.014,0.014,NA,NA,76.4625,291.2125,16.6177509547088,3192203.5,4.04196918491638,NA,NA,NA,NA,NA,0,NA,0,NA,166.177509547088,166.177509547088,291.2125,76.4625,"Sub-Saharan Africa",NA
"ESP","Spain",2014,21.9349999427795,21.9362499713898,21.9349999427795,8,8,45.7084619733305,45.7084619733305,33.3375,33.3375,31.0061904375,31.0061904375,31.0061904375,1.325,1.325,9.2325,9.2325,0.724333333333333,0.722,0.0243333333333333,0.0245,0,0,0,0,0.001,0.001,0.00666666666666667,0.0055,0.243666666666667,0.247,2692.375,871.875,26.725,91.1,5.75751409994459,46589463.25,18.1286766130256,0.714285714285714,62.2569230769231,58.5184615384615,NA,NA,0,0.625,0,0.25,57.5751409994459,57.5751409994459,91.1,26.725,"Europe & Central Asia",1
"EST","Estonia",2014,9.21875000000002,9.21875000000002,9.21875000000002,9,9,48.7952291838076,48.7952291838076,32.4875,32.4875,23.61532845,23.61532845,23.61532845,1.59,1.59,16.12,16.12,0.288333333333333,0.28775,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.148166666666667,0.140875,0.5605,0.568375,173.75,43.875,39.5125,257.075,14.0099788695674,1320341.625,18.40539354523,NA,47.1229487179487,38.97,NA,NA,0,0,0,0,140.099788695674,140.099788695674,257.075,39.5125,"Europe & Central Asia",0
"ETH","Ethiopia",2014,2.25,2.23499998450279,2.25,3,3,46.1063289158039,46.1063289158039,33.3333333333333,33.3333333333333,1.41971265,1.41971265,1.41971265,4.735875,4.735875,0.565,0.565,0.633333333333333,0.63375,0.3435,0.344125,0,0,0,0,0,0,0.0221666666666667,0.021125,0.001,0.001,NA,NA,53.5125,150.7875,10.3765692079407,96853235.375,3.40621598194435,NA,73.6850227272727,60.9,NA,NA,0,0,0,0,103.765692079407,103.765692079407,150.7875,53.5125,"Sub-Saharan Africa",0
"FIN","Finland",2014,8.44375002384186,8.44375002384186,8.44375002384186,9,9,48.0855861734134,48.0855861734134,25.5375,25.5375,37.537084125,37.537084125,37.537084125,1.70875,1.70875,8.99625,8.99625,0.7795,0.775125,0.00883333333333333,0.009125,0.001,0.001,0,0,0,0,0.0025,0.002625,0.208166666666667,0.212125,639.875,202.25,66.0125,215.7375,14.0157228647153,5443640.875,19.2862889540467,0,42.3116071428571,40.2753125,NA,NA,0,0,0,0,140.157228647153,140.157228647153,215.7375,66.0125,"Europe & Central Asia",0
"FJI","Fiji",2014,6.56199998855591,4.36250001192093,6.56199998855591,0,0,34.2123406141336,34.2123406141336,39.975,39.9375,4.22641261084059,4.22641261084059,4.22641261084059,2.7815,2.7815,2.36,2.36,0.6755,0.679375,0.059,0.0585,0,0,0,0,0.247833333333333,0.244375,0.008,0.008,0.00966666666666667,0.00975,27,9,60.7875,138.95,9.98575069828367,867360.25,5.01559715326504,NA,NA,NA,NA,NA,0,0,0,0,99.8575069828367,99.8575069828367,138.95,60.7875,"East Asia & Pacific",0
"FRA","France",2014,9.63499999046325,9.63625001907348,9.63499999046325,9,9,47.5720231397691,47.5720231397691,29.7875,29.7875,36.794215875,36.794215875,36.794215875,1.9775,1.9775,11.99625,11.99625,0.653666666666667,0.6525,0.0751666666666667,0.075375,0.00916666666666667,0.009625,0.00733333333333333,0.00725,0.001,0.001,0.0176666666666667,0.017,0.236,0.23725,7136.85714285714,2350.85714285714,63.1875,218.3,13.6627439347598,66059700.625,18.2178921974375,0.714285714285714,50.1722354497355,50.1634527817861,NA,NA,0,0.625,0,0,136.627439347598,136.627439347598,218.3,63.1875,"Europe & Central Asia",1
"GAB","Gabon",2014,20.3899993896484,20.2674996852875,20.3899993896484,3,3,40.2804565316518,40.2804565316518,40.95,40.95,17.3264640375,17.3264640375,17.3264640375,4.085,4.085,7.7775,7.7775,0.7875,0.788375,0.103166666666667,0.103375,0,0,0,0,0,0,0.0953333333333333,0.09425,0.014,0.014,NA,NA,45.1375,222.5125,12.7763228248812,1847463.75,3.79296848604996,NA,61.8090909090909,50.485,NA,NA,0,0.125,0,1,127.763228248812,127.763228248812,222.5125,45.1375,"Sub-Saharan Africa",1
"GBR","United Kingdom",2014,6.47250002622604,6.47374999523163,6.47250002622604,9,9,46.3381858544937,46.3381858544937,33.3,33.3,36.127787575,36.127787575,36.127787575,1.84,1.84,9.67125,9.67125,0.619666666666667,0.6145,0.0465,0.047625,0.00433333333333333,0.0045,0.004,0.004,0.0135,0.013625,0.04,0.0375,0.272,0.27825,6339.375,1817.75,32.9875,113.25,7.2598082156948,64405329,17.508203718507,0.714285714285714,54.5892857142857,51.2601373626374,NA,NA,0,0.625,0,0,72.598082156948,72.598082156948,113.25,32.9875,"Europe & Central Asia",1
"GEO","Georgia",2014,17.9237500429153,17.9237500429153,17.9237500429153,5,5,45.2048169293353,45.2048169293353,39.35,39.35,9.9923949875,9.9923949875,9.9923949875,2.00775,2.00775,7.14875,7.14875,0.848,0.84875,0.105,0.10475,0,0,0.001,0.001,0,0,0.00666666666666667,0.0065,0.0393333333333333,0.039,120,27.25,21.4375,124.7,6.89240190601233,3736234.625,14.3267719429262,NA,69.5215384615385,59.5957692307692,NA,NA,0,0.5,0,0.5,68.9240190601233,68.9240190601233,124.7,21.4375,"Europe & Central Asia",1
"GHA","Ghana",2014,4.62999999523163,5.76624995470047,4.62999999523163,9,9,46.7584234518406,46.7584234518406,43.6142857142857,43.625,3.619699425,3.619699425,3.619699425,4.111375,4.111375,1.7975,1.7975,0.595666666666667,0.59575,0.199,0.199,0,0,0,0,0,0,0.202333333333333,0.20225,0.003,0.003,NA,NA,20.5625,193.9375,9.91259383524725,26931064.25,2.95550176766422,0.571428571428571,63.2565873015873,57.7089285714286,NA,NA,0,0.5,0,0,99.1259383524725,99.1259383524725,193.9375,20.5625,"Sub-Saharan Africa",1
"GIN","Guinea",2014,NA,4.39874994754791,4.39874994754791,3,3,54.3248569130445,54.3248569130445,39.7,39.7,1.39990045,1.39990045,1.39990045,5.05475,5.05475,0.27875,0.27875,0.0893333333333333,0.09025,0.793333333333333,0.789,0.001,0.001,0,0,0,0,0.114333333333333,0.11775,0.002,0.002,NA,NA,67.025,160.3625,11.1921848540684,11068316.375,2.94378533007435,NA,74.1276923076923,73.3546153846154,NA,NA,0,0,0,NA,111.921848540684,111.921848540684,160.3625,67.025,"Sub-Saharan Africa",0
"GMB","Gambia",2014,9.42000007629395,9.33500003814697,9.42000007629395,3,3,43.6103915108061,43.6103915108061,43.2333333333333,43.125,1.7587671,1.7587671,1.7587671,5.447375,5.447375,2.91375,2.91375,0.0421666666666667,0.042375,0.884666666666667,0.8845,0,0,0,0,0,0,0.066,0.06575,0.00716666666666667,0.007375,NA,NA,57.575,140.125,9.68764259310388,1997875,2.65799139364456,NA,68.9090909090909,68.7740740740741,NA,NA,0,0,0,0,96.8764259310388,96.8764259310388,140.125,57.575,"Sub-Saharan Africa",0
"GNB","Guinea-Bissau",2014,NA,3.03124997019768,3.03124997019768,4,4,47.8551573795239,47.8551573795239,44.3,44.3,1.3935427125,1.3935427125,1.3935427125,4.811125,4.811125,3.02375,3.02375,0.1195,0.118875,0.446,0.44625,0,0,0,0,0,0,0.422333333333333,0.42275,0.0121666666666667,0.012125,NA,NA,72.4,218.4875,13.9632897965439,1672381,2.69792849739485,NA,48.14,65.9278571428571,NA,NA,0,NA,0,NA,139.632897965439,139.632897965439,218.4875,72.4,"Sub-Saharan Africa",NA
"GNQ","Equatorial Guinea",2014,NA,8.34375,8.34375,3,3,37.2218616675132,37.2218616675132,NA,NA,39.929590775,39.929590775,39.929590775,4.906125,4.906125,8.32875,8.32875,0.8815,0.881375,0.04,0.04,0,0,0,0,0.000333333333333333,0.00025,0.0276666666666667,0.02775,0.0505,0.050625,NA,NA,46.575,147.8,9.12484176491068,1100765,2.64962516959603,NA,55.6142857142857,65.1428571428571,NA,NA,0,NA,0,NA,91.2484176491068,91.2484176491068,147.8,46.575,"Sub-Saharan Africa",NA
"GRC","Greece",2014,22.3625000715256,22.3637501001358,22.3625000715256,9,9,43.3956597363328,43.3956597363328,32.8125,32.8125,23.249573375,23.249573375,23.249573375,1.35875,1.35875,7.0975,7.0975,0.873,0.8695,0.0328333333333333,0.033625,5e-04,0.000625,0,0,0.00133333333333333,0.0015,0.0558333333333333,0.057625,0.0365,0.037125,408.375,91.25,12.8,59.1625,3.5506430967122,10935051,20.2752929468408,1.71428571428571,55.9214285714286,51.7314285714286,NA,NA,0,0.875,0,0.375,35.506430967122,35.506430967122,59.1625,12.8,"Europe & Central Asia",1
"GRD","Grenada",2014,23.8666667938233,NA,23.8666667938233,NA,7,NA,NA,NA,NA,4.22939112714231,4.22939112714231,4.22939112714231,2.160375,2.160375,8.62375,8.62375,0.920166666666667,0.919375,0.001,0.001,0,0,0,0,0.007,0.007,0.0148333333333333,0.014875,0.057,0.05775,1.5,1,17.5625,78.775,4.83842721698989,108535.125,9.6648585821703,NA,NA,NA,NA,NA,0,0.125,0,1,48.3842721698989,48.3842721698989,78.775,17.5625,"Latin America & Caribbean",1
"GTM","Guatemala",2014,2.96000000834465,2.83499997854233,2.96000000834465,6,6,34.2158895414905,34.2158895414905,46.54,46.15,6.9209658875,6.9209658875,6.9209658875,3.130875,3.130875,1.78625,1.78625,0.8715,0.872125,0,0,0,0,0,0,0,0,0.013,0.013,0.1155,0.114875,332.75,125.125,23.725,97.925,5.78814528557102,15174496,4.44814837028049,0,70.8905,60.9765,NA,NA,0,0,0,0,57.8814528557102,57.8814528557102,97.925,23.725,"Latin America & Caribbean",0
"GUM","Guam",2014,9.29999998637608,8.82374995946884,9.29999998637608,NA,7,40.8529541636142,40.8529541636142,NA,NA,4.24849910001668,4.86619940682541,4.86619940682541,2.414625,2.414625,NA,NA,0.912333333333333,0.912,0,0,0.011,0.011,0,0,0,0,0.059,0.05925,0.0176666666666667,0.01775,NA,NA,66.2125,329.175,20.1017184370223,161205,8.36893329187033,NA,NA,NA,NA,NA,NA,NA,0,NA,201.017184370223,201.017184370223,329.175,66.2125,"East Asia & Pacific",NA
"GUY","Guyana",2014,NA,13.0337500572205,13.0337500572205,6,6,36.8700839724597,36.8700839724597,NA,NA,4.22596828191846,4.22596828191846,4.22596828191846,2.569875,2.569875,5.98125,5.98125,0.632166666666667,0.635625,0.0665,0.066125,0.002,0.002,0,0,0.242666666666667,0.24025,0.0263333333333333,0.0265,0.0303333333333333,0.0295,158,45.6,107.625,465.6375,28.1290067024998,761693.375,5.38992554024535,NA,65.8871428571429,71.6171428571429,NA,NA,0,0,0,NA,281.290067024998,281.290067024998,465.6375,107.625,"Latin America & Caribbean",1
"HND","Honduras",2014,5.43500000238418,5.43625003099442,5.43500000238418,3,3,35.4859386676283,35.4859386676283,48.8,48.8,4.6086488875,4.6086488875,4.6086488875,2.69225,2.69225,2.62,2.62,0.8925,0.895625,0.001,0.001,0.001,0.001,0,0,0,0,0.0855,0.082375,0.02,0.02,71.75,35.25,17.875,73.6625,4.45503432488953,8875708.25,4.22701035376031,0,67.8888888888889,61.1714285714286,NA,NA,0,0,0,0,44.5503432488953,44.5503432488953,73.6625,17.875,"Latin America & Caribbean",0
"HRV","Croatia",2014,14.5325002670288,14.5337501764298,14.5325002670288,6,6,45.9768761179059,45.9768761179059,29.425,29.425,19.831713875,19.831713875,19.831713875,1.4625,1.4625,10.56625,10.56625,0.913333333333333,0.91225,0.015,0.015,0,0,0,0,0,0,0.027,0.0285,0.0446666666666667,0.04425,539.5,176.25,51.15,199.7125,12.0139286266766,4230021.125,18.7459960808011,NA,61.1469230769231,55.4569230769231,NA,NA,0,0,0,0,120.139286266766,120.139286266766,199.7125,51.15,"Europe & Central Asia",1
"HTI","Haiti",2014,14.1000003814697,14.2262500524521,14.1000003814697,3,3,47.8623570878628,47.8623570878628,54.1333333333333,54.1333333333333,1.6931446,1.6931446,1.6931446,3.19725,3.19725,2.61875,2.61875,0.358833333333333,0.360875,0,0,0,0,0,0,0,0,0.614166666666667,0.612125,0.027,0.027,NA,NA,44.9375,135.95,8.78319747307127,10471016.375,4.61100665483539,NA,60.3494747474748,53.5065952380952,NA,NA,0,0.125,0,1,87.8319747307126,87.8319747307126,135.95,44.9375,"Latin America & Caribbean",1
"HUN","Hungary",2014,8.39875000715256,8.39999997615814,8.39875000715256,6,6,45.8883553754288,45.8883553754288,27.7,27.7,21.8920366125,21.8920366125,21.8920366125,1.39125,1.39125,10.98375,10.98375,0.531,0.5185,0.001,0.001,0,0,0.001,0.001,0,0,0.279833333333333,0.290125,0.187166666666667,0.189375,1576.5,492.375,67,272.475,16.1417614476137,9887084.875,17.1252502881684,2.14285714285714,44.914708994709,38.2307709750567,NA,NA,0,0.875,0,0,161.417614476137,161.417614476137,272.475,67,"Europe & Central Asia",1
"IDN","Indonesia",2014,4.53875011205673,4.53875011205673,4.53875011205673,6,6,38.1591619069427,38.1591619069427,46.35,46.35,9.8841233125,9.8841233125,9.8841233125,2.418125,2.418125,0.0825,0.0825,0.101,0.1015,0.791833333333333,0.791875,0.007,0.007,0,0,0.0165,0.016375,0.0696666666666667,0.06925,0.014,0.014,NA,NA,16.225,49.225,3.25641911129126,253365201,5.27307465415127,0.142857142857143,71.1612637362637,62.848880952381,NA,NA,0,0.125,0,0,32.5641911129126,32.5641911129126,49.225,16.225,"East Asia & Pacific",0
"IND","India",2014,2.56500005722046,5.58875000476837,2.56500005722046,6,6,21.2133920382724,21.2133920382724,49.45,49.5125,5.4029823625,5.4029823625,5.4029823625,2.3805,2.3805,2.9575,2.9575,0.024,0.024,0.139666666666667,0.14,0.008,0.008,0,0,0.782666666666667,0.78225,0.0326666666666667,0.03275,0.013,0.013,NA,NA,138.7875,191.4,16.4600819160226,1287515478.625,5.46937550108431,0.142857142857143,71.1208214285714,66.2303928571429,NA,NA,0,0.125,0,0,164.600819160226,164.600819160226,191.4,138.7875,"South Asia",0
"IRL","Ireland",2014,11.9887498617172,11.9899998903274,11.9887498617172,9,9,45.2711901754693,45.2711901754693,30.2375,30.2375,52.343760975,52.343760975,52.343760975,1.91375,1.91375,10.9975,10.9975,0.8895,0.886875,0.0116666666666667,0.012,0.002,0.002,0,0,0.00266666666666667,0.00275,0.029,0.02925,0.0651666666666667,0.067125,402.5,94.1666666666667,36.575,155.7875,9.54787814786325,4660751,12.2321536766997,1,51.0772222222222,48.0735185185185,NA,NA,0,0.875,0,0,95.4787814786325,95.4787814786325,155.7875,36.575,"Europe & Central Asia",1
"IRN","Iran",2014,11.9437499046326,11.9000000953674,11.9437499046326,3,3,17.6783930580158,17.6783930580158,38.025,38.025,16.99801695,16.99801695,16.99801695,1.973,1.973,0.02,0.02,0.0025,0.002375,0.988,0.988,0,0,0,0,0,0,0.0065,0.006625,0.003,0.003,1764,793.25,35.5375,80.6125,5.82668393308609,77076901.875,5.58435611122623,NA,68.0958333333333,63.935,NA,NA,0,0,0,0,58.2668393308609,58.2668393308609,80.6125,35.5375,"Middle East & North Africa",1
"IRQ","Iraq",2014,10.5975000858307,9.86000007390976,10.5975000858307,4,4,14.8322209815916,14.8322209815916,32.34,32.34,12.563574075,12.563574075,12.563574075,4.091125,4.091125,0.17,0.17,0.0133333333333333,0.01275,0.978,0.97875,0,0,0,0,0,0,0.00166666666666667,0.0015,0.007,0.007,3.5,3,29.8625,65.4125,4.82427180257138,33707745.25,3.20104917305158,NA,64.719,64.5529285714286,NA,NA,0.625,0.25,0.625,0.5,48.2427180257138,48.2427180257138,65.4125,29.8625,"Middle East & North Africa",1
"ISL","Iceland",2014,5.07125005125999,5.07125005125999,5.07125005125999,NA,9,47.2794116501677,47.2794116501677,25.2714285714286,25.225,38.9517402375,38.9517402375,38.9517402375,1.92125,1.92125,7.14625,7.14625,0.8675,0.863125,0.00233333333333333,0.0025,0.00416666666666667,0.004375,0,0,0.003,0.003,0.0733333333333333,0.076,0.0496666666666667,0.051,31.125,8.5,33.0875,163.575,9.73733283250289,327321.875,13.163147107923,1.71428571428571,53.6113736263736,51.4575068681319,NA,NA,0,0.875,0,0,97.3733283250289,97.3733283250289,163.575,33.0875,"Europe & Central Asia",1
"ISR","Israel",2014,6.10624992847443,6.10624992847443,6.10624992847443,7,7,46.8219551986444,46.8219551986444,36.025,36.025,30.424953,30.424953,30.424953,3.06,3.06,2.78875,2.78875,0.026,0.02575,0.4185,0.421875,0.003,0.003,0.4975,0.494125,0,0,0.00383333333333333,0.003875,0.0511666666666667,0.051375,318.125,82.75,23.625,101,6.11841207800268,8151812.5,10.991757952415,NA,59.0740816326531,52.6058163265306,NA,NA,0,0,0,0,61.1841207800268,61.1841207800268,101,23.625,"Middle East & North Africa",0
"ITA","Italy",2014,10.8749997615814,10.8762497901917,10.8749997615814,8,8,42.0398146345468,42.0398146345468,33.45,33.45,33.8090344125,33.8090344125,33.8090344125,1.3875,1.3875,7.21,7.21,0.805,0.80475,0.026,0.02625,0,0,0,0,0.001,0.001,0.00316666666666667,0.003125,0.164833333333333,0.164875,3188.125,891.875,21.8875,84.675,5.18846540971039,60139307.5,21.458824850554,1.42857142857143,53.1956514913658,50.4736263736264,NA,NA,0,0.625,0,0,51.8846540971039,51.8846540971039,84.675,21.8875,"Europe & Central Asia",1
"JAM","Jamaica",2014,13.289999961853,13.289999961853,13.289999961853,6,6,45.2371041450041,45.2371041450041,41.1714285714286,41.1375,7.060638725,7.060638725,7.060638725,2.06975,2.06975,3.41,3.41,0.673333333333333,0.67325,0.001,0.001,0,0,0,0,0.006,0.006,0.106166666666667,0.106125,0.2135,0.213625,13.5,6,11.0125,58.4,3.41828772256201,2866309.75,8.43659941947534,NA,NA,36.2185714285714,NA,NA,0,0,0,0,34.1828772256201,34.1828772256201,58.4,11.0125,"Latin America & Caribbean",1
"JOR","Jordan",2014,13.5749998092651,13.2799998521805,13.5749998092651,0,0,17.7785789058797,17.7785789058797,36.52,36.5125,11.536558025,11.536558025,11.536558025,3.249625,3.249625,0.3675,0.3675,0.0235,0.022875,0.943333333333333,0.944,0,0,0,0,0,0,0.004,0.004,0.0291666666666667,0.029125,15.5,3.75,14.1,49.5625,3.30789294878779,8631653.25,3.70799474800126,NA,73.6069230769231,61.0284615384615,NA,NA,0,0,0,0,33.0789294878779,33.0789294878779,49.5625,14.1,"Middle East & North Africa",1
"JPN","Japan",2014,3.85249999165535,3.85249999165535,3.85249999165535,9,9,42.4743684852006,42.4743684852006,31.9,31.9,36.4215330375,36.4215330375,36.4215330375,1.42,1.42,6.83875,6.83875,0.012,0.012,0.002,0.002,0.563166666666667,0.563125,0,0,0,0,0.292833333333333,0.292875,0.13,0.13,17458.875,7552.125,94.0875,242.95,16.7497345862864,127396788.5,24.9037744775371,0.571428571428571,58.7265384615385,56.3438461538462,NA,NA,0,0.5,0,0,167.497345862864,167.497345862864,242.95,94.0875,"East Asia & Pacific",1
"KAZ","Kazakhstan",2014,5.18749994039536,5.18749994039536,5.18749994039536,3,3,48.6317190995133,48.6317190995133,26.15,26.15,22.8220551375,22.8220551375,22.8220551375,2.6725,2.6725,3.60625,3.60625,0.232833333333333,0.227375,0.737666666666667,0.744,0.001,0.001,0,0,0,0,0.0045,0.004375,0.024,0.02325,2477,566.5,90.4125,444.1375,25.473303435108,17171204.25,6.84838474764145,NA,67.0377777777778,61.9164285714286,NA,NA,0,0,0,0,254.73303435108,254.73303435108,444.1375,90.4125,"Europe & Central Asia",0
"KEN","Kenya",2014,2.75999999046326,2.81499993801117,2.75999999046326,3,3,48.2981394468285,48.2981394468285,46.4,46.375,2.914676,2.914676,2.914676,3.95225,3.95225,1.54375,1.54375,0.82,0.81825,0.1295,0.133875,0,0,0,0,0.001,0.001,0.0485,0.045875,0.001,0.001,NA,NA,44.225,201.0375,11.6373336224768,46115463.5,2.057773062073,0,60.1,63.0285714285714,NA,NA,0,0,0,0,116.373336224768,116.373336224768,201.0375,44.225,"Sub-Saharan Africa",0
"KGZ","Kyrgyzstan",2014,7.95500004291534,7.95500004291534,7.95500004291534,3,3,40.9017989681339,40.9017989681339,33.15,33.15,4.5081955375,4.5081955375,4.5081955375,3.125,3.125,5.33625,5.33625,0.0723333333333333,0.0715,0.824166666666667,0.826625,0.005,0.005,0,0,0,0,0.00633333333333333,0.00625,0.0921666666666667,0.090625,360.571428571429,102,45.0375,191.5125,11.4738810378518,5794925,4.37924225368712,NA,71.005,67.5507142857143,NA,NA,0,0,0,0,114.738810378518,114.738810378518,191.5125,45.0375,"Europe & Central Asia",0
"KHM","Cambodia",2014,0.626249993219971,0.529999995604157,0.626249993219971,3,3,49.1222653032138,49.1222653032138,36.2,36.2,2.8788852125,2.8788852125,2.8788852125,2.676875,2.676875,2.935,2.935,0.0261666666666667,0.026875,0.0183333333333333,0.01825,0.843333333333333,0.8425,0,0,0.002,0.002,0.0851666666666667,0.085375,0.025,0.025,NA,NA,24.8,73.3625,4.67675551232672,15154008.375,4.01573594880775,NA,74.4415,61.40675,NA,NA,0,0,0,0,46.7675551232672,46.7675551232672,73.3625,24.8,"East Asia & Pacific",0
"KIR","Kiribati",2014,19.9549999237061,NA,19.9549999237061,NA,5.5,NA,NA,NA,NA,4.22444398981953,4.22444398981953,4.22444398981953,3.738625,3.738625,0.46375,0.46375,0.970666666666667,0.9705,0,0,0,0,0,0,0,0,0.0228333333333333,0.022875,0.0065,0.006625,NA,NA,70.2375,486.75,26.9103910443475,108614.75,3.59488538693152,NA,72.13,62.23,NA,NA,0,0.125,0,0.5,269.103910443475,269.103910443475,486.75,70.2375,"East Asia & Pacific",1
"KOR","South Korea",2014,3.46875002980232,3.46875002980232,3.46875002980232,9,9,41.4331772423989,41.4331772423989,32.225,32.225,34.1374986875,34.1374986875,34.1374986875,1.20275,1.20275,8.86,8.86,0.338666666666667,0.34075,0.00166666666666667,0.00175,0.225166666666667,0.224875,0,0,0,0,0.4175,0.415375,0.017,0.01725,9792.75,4328.625,144.6625,358,24.2332618740747,50557602,12.2173637372601,0,60.8573076923077,53.1173076923077,NA,NA,0,0,0,0,242.332618740747,242.332618740747,358,144.6625,"East Asia & Pacific",0
"KWT","Kuwait",2014,2.27000007033348,2.28250001370907,2.27000007033348,1,1,26.8799647611306,26.8799647611306,NA,NA,72.616305625,72.616305625,72.616305625,2.12525,2.12525,0.01,0.01,0.087,0.08725,0.860666666666667,0.8605,0,0,0,0,0.0365,0.036875,0.00866666666666667,0.008,0.00716666666666667,0.007375,42.25,16,11.2125,36.75,2.59935979947756,3571834.875,2.10382492019752,NA,69.5581818181818,59.2972727272727,NA,NA,0,0,0,0,25.9935979947756,25.9935979947756,36.75,11.2125,"Middle East & North Africa",0
